Variable,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,median,skewness,kurtosis
Passengers,1062603.0,5065.178166257765,7738.886912640275,0.0,0.0,13.0,792.0,2507.0,5678.0,20207.0,39450.97999999998,97794.0,2507.0,3.4725641561155,16.6341406552734
Seats,1062603.0,6390.679651760817,9272.675308470334,0.0,9.0,54.0,1266.0,3420.0,7513.0,24885.0,46607.97999999998,111897.0,3420.0,3.300485704834059,15.034763408810909
DepScheduled,1062603.0,55.83389751393512,65.44895733325933,0.0,0.0,0.0,13.0,31.0,76.0,180.0,305.0,2605.0,31.0,3.5698333689796398,39.42801645685378
DepPerformed,1062603.0,55.851902356759766,61.83694153211046,0.0,1.0,2.0,17.0,32.0,74.0,175.0,296.0,1247.0,32.0,2.9181177685060997,15.494342629895504
Distance,1062603.0,733.0795499353945,615.1456792835576,0.0,12.0,46.0,282.0,594.0,1009.0,2065.0,2611.0,6089.0,594.0,1.5466223001341213,3.5417940672026043
LoadFactor,1061190.0,0.7124309576036415,0.2279175311487783,0.0,0.0,0.1951219512195122,0.6253968253968254,0.792,0.8739749854673315,0.9388450439296501,0.969161557210187,1.21875,0.792,-1.3960470252316515,1.2848186617978836
TargetPassengersNextMonth,1062603.0,5048.629952108172,7757.965492213808,0.0,0.0,12.0,685.0,2479.0,5685.0,20224.0,39475.0,97794.0,2479.0,3.4593091273368284,16.514937909527195
