Predictor,PearsonCorrelationWithTarget,AbsoluteCorrelation
Passengers,0.9769269550892357,0.9769269550892357
Seats,0.9638334093387221,0.9638334093387221
DepPerformed,0.8216570342453537,0.8216570342453537
DepScheduled,0.7937362400007447,0.7937362400007447
LoadFactor,0.2895942024050588,0.2895942024050588
Distance,0.19446934500537513,0.19446934500537513
